対象日,親ASIN,子ASIN,注文数,注文数_B2B,売上,売上_B2B,セッション数,セッション_B2B,ブラウザセッション,モバイルセッション,PV,PV_B2B,ブラウザPV,モバイルPV,CVR,CVR_B2B
2026-03-16,B076BMTHVQ,B076BMTHVQ,0,0,0.0,0.0,5,1,2,3,5,1,2,3,0.0,0.0
2026-03-16,B076BWMYZR,B076BWMYZR,0,0,0.0,0.0,4,0,3,1,5,0,3,2,0.0,0.0
2026-03-16,B076BZ2BSG,B076BZ2BSG,0,0,0.0,0.0,5,0,1,4,5,0,1,4,0.0,0.0
2026-03-16,B08P31F45K,B09GK19G1N,0,0,0.0,0.0,14,0,6,8,16,0,6,10,0.0,0.0
2026-03-16,B08P31F45K,B09GK7JVS6,0,0,0.0,0.0,7,0,2,5,9,0,4,5,0.0,0.0
2026-03-16,B08P31F45K,B0CN3JHX9V,2,0,57600.0,0.0,40,0,11,29,57,0,16,41,5.0,0.0
2026-03-16,B08P31F45K,B0CN3LTPXT,1,0,28800.0,0.0,20,0,9,11,29,0,13,16,5.0,0.0
2026-03-16,B08P31F45K,B0CN3N86F5,0,0,0.0,0.0,19,0,5,14,20,0,5,15,0.0,0.0
2026-03-16,B08P31F45K,B0DT977KJV,1,0,28800.0,0.0,49,0,10,39,66,0,19,47,2.04,0.0
2026-03-16,B08P31F45K,B0DT98HGNJ,0,0,0.0,0.0,21,0,7,14,40,0,14,26,0.0,0.0
2026-03-16,B08P31F45K,B0DT9D66X1,0,0,0.0,0.0,14,1,0,14,15,1,0,15,0.0,0.0
2026-03-16,B08P31F45K,B0DT9GW9YH,0,0,0.0,0.0,18,0,5,13,25,0,6,19,0.0,0.0
2026-03-16,B08P31F45K,B0DTH5B27T,0,0,0.0,0.0,19,0,6,13,27,0,7,20,0.0,0.0
2026-03-16,B08P31F45K,B0F7X8N5JD,1,0,28800.0,0.0,16,0,4,12,22,0,6,16,6.25,0.0
2026-03-16,B08P31F45K,B0F7XHMQDX,0,0,0.0,0.0,18,0,3,15,18,0,3,15,0.0,0.0
2026-03-16,B08P31F45K,B0FY4MPKM8,0,0,0.0,0.0,32,0,8,24,46,0,14,32,0.0,0.0
2026-03-16,B08P31F45K,B0FY4NPM7G,0,0,0.0,0.0,35,0,11,24,49,0,15,34,0.0,0.0
2026-03-16,B08P31F45K,B0FY4NVXGL,0,0,0.0,0.0,15,0,4,11,20,0,6,14,0.0,0.0
2026-03-16,B08P31F45K,B0FY4QL7LS,0,0,0.0,0.0,40,1,15,25,45,2,15,30,0.0,0.0
2026-03-16,B09KZZY78K,B09KZWRV62,0,0,0.0,0.0,15,0,8,7,18,0,11,7,0.0,0.0
2026-03-16,B09KZZY78K,B09KZYRM9H,0,0,0.0,0.0,4,0,1,3,8,0,1,7,0.0,0.0
2026-03-16,B09KZZY78K,B09KZYXKYZ,0,0,0.0,0.0,15,1,6,9,23,1,6,17,0.0,0.0
2026-03-16,B09KZZY78K,B09L11GCFB,0,0,0.0,0.0,3,0,2,1,5,0,4,1,0.0,0.0
2026-03-16,B0BCQ2PP2J,B08P2X5DB9,0,0,0.0,0.0,17,0,5,12,18,0,5,13,0.0,0.0
2026-03-16,B0BCQ2PP2J,B09GJGRVVV,0,0,0.0,0.0,9,0,0,9,15,0,0,15,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0BCQ2PP2J,0,0,0.0,0.0,1,0,1,0,1,0,1,0,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0CT32RDC4,0,0,0.0,0.0,11,0,2,9,13,0,2,11,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0CT5GBJLR,0,0,0.0,0.0,13,0,2,11,13,0,2,11,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0CV4SWT5X,1,0,28800.0,0.0,48,0,17,31,84,0,31,53,2.08,0.0
2026-03-16,B0BCQ2PP2J,B0CV4V1VQJ,0,0,0.0,0.0,13,0,3,10,18,0,5,13,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0CV4V86GN,2,0,57600.0,0.0,37,0,12,25,59,0,26,33,5.41,0.0
2026-03-16,B0BCQ2PP2J,B0DR8DKPLC,0,0,0.0,0.0,13,0,3,10,15,0,3,12,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0DT8T75BV,1,0,28800.0,0.0,31,0,9,22,47,0,13,34,3.23,0.0
2026-03-16,B0BCQ2PP2J,B0DT9DDBC1,0,0,0.0,0.0,7,0,2,5,8,0,2,6,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0DT9FQD5S,1,0,28800.0,0.0,19,0,6,13,35,0,12,23,5.26,0.0
2026-03-16,B0BCQ2PP2J,B0FY4L7J5N,0,0,0.0,0.0,14,0,5,9,19,0,7,12,0.0,0.0
2026-03-16,B0BCQ2PP2J,B0FY4LLPH5,1,0,28800.0,0.0,25,0,7,18,34,0,11,23,4.0,0.0
2026-03-16,B0BCQ2PP2J,B0FY4MZZBK,0,0,0.0,0.0,14,0,9,5,15,0,10,5,0.0,0.0
2026-03-16,B0BGZMPCPS,B0BGZMZ6CW,1,0,1180.0,0.0,2,0,2,0,2,0,2,0,50.0,0.0
2026-03-16,B0BGZMPCPS,B0BGZN9MQH,0,0,0.0,0.0,2,0,1,1,2,0,1,1,0.0,0.0
2026-03-16,B0D4TG2KBT,B0D4TJL2X5,0,0,0.0,0.0,4,0,3,1,5,0,3,2,0.0,0.0
2026-03-16,B0D4TG2KBT,B0D4TKK7QC,0,0,0.0,0.0,14,0,7,7,18,0,11,7,0.0,0.0
2026-03-16,B0D4TG2KBT,B0D4TMSNH1,0,0,0.0,0.0,7,0,6,1,8,0,6,2,0.0,0.0
2026-03-16,B0D86LBDVB,B01D1BSOPM,1,0,17800.0,0.0,20,0,7,13,34,0,9,25,5.0,0.0
2026-03-16,B0D86LBDVB,B01N3B009P,0,0,0.0,0.0,107,0,35,72,165,0,45,120,0.0,0.0
2026-03-16,B0D86LBDVB,B01N6TYYZO,1,0,16400.0,0.0,69,1,21,48,93,1,22,71,1.45,0.0
2026-03-16,B0D86LBDVB,B01N9UXG9E,1,0,16400.0,0.0,35,0,8,27,64,0,9,55,2.86,0.0
2026-03-16,B0D86LBDVB,B01NCZ4488,0,0,0.0,0.0,31,0,7,24,41,0,9,32,0.0,0.0
2026-03-16,B0D86LBDVB,B075811BWJ,0,0,0.0,0.0,37,0,11,26,45,0,13,32,0.0,0.0
2026-03-16,B0D86LBDVB,B07DT9FBPK,0,0,0.0,0.0,57,1,17,40,72,1,19,53,0.0,0.0
2026-03-16,B0D86LBDVB,B07DTCSFDR,0,0,0.0,0.0,21,0,5,16,40,0,6,34,0.0,0.0
2026-03-16,B0D86LBDVB,B07DTCV4N4,1,0,17800.0,0.0,59,1,25,34,87,2,32,55,1.69,0.0
2026-03-16,B0D86LBDVB,B081SY9LGF,1,0,17800.0,0.0,16,0,5,11,24,0,5,19,6.25,0.0
2026-03-16,B0D86LBDVB,B081SZT58P,0,0,0.0,0.0,25,0,6,19,33,0,9,24,0.0,0.0
2026-03-16,B0D86LBDVB,B08X183LPL,0,0,0.0,0.0,102,0,32,70,151,0,39,112,0.0,0.0
2026-03-16,B0D86LBDVB,B08X1BFB7N,1,0,17800.0,0.0,32,0,11,21,58,0,17,41,3.13,0.0
2026-03-16,B0D86LBDVB,B08X1KJ1V2,0,0,0.0,0.0,25,0,7,18,35,0,12,23,0.0,0.0
2026-03-16,B0D86LBDVB,B08X1L3Z1D,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
2026-03-16,B0D86LBDVB,B08X1LFKXW,1,0,16400.0,0.0,50,0,16,34,69,0,23,46,2.0,0.0
2026-03-16,B0D86LBDVB,B0D7VGPZ1J,2,0,32800.0,0.0,101,1,27,74,148,1,36,112,1.98,0.0
