対象日,親ASIN,子ASIN,注文数,注文数_B2B,売上,売上_B2B,セッション数,セッション_B2B,ブラウザセッション,モバイルセッション,PV,PV_B2B,ブラウザPV,モバイルPV,CVR,CVR_B2B
2026-02-20,B08P31F45K,B09GK19G1N,0,0,0.0,0.0,12,0,2,10,14,0,2,12,0.0,0.0
2026-02-20,B08P31F45K,B09GK7JVS6,0,0,0.0,0.0,13,0,4,9,13,0,4,9,0.0,0.0
2026-02-20,B08P31F45K,B0CN3JHX9V,2,0,53640.0,0.0,46,0,13,33,91,0,17,74,4.35,0.0
2026-02-20,B08P31F45K,B0CN3LTPXT,0,0,0.0,0.0,20,0,4,16,21,0,4,17,0.0,0.0
2026-02-20,B08P31F45K,B0CN3N86F5,0,0,0.0,0.0,17,0,1,16,29,0,1,28,0.0,0.0
2026-02-20,B08P31F45K,B0DT977KJV,1,0,28800.0,0.0,55,0,13,42,80,0,16,64,1.82,0.0
2026-02-20,B08P31F45K,B0DT98HGNJ,0,0,0.0,0.0,18,0,4,14,27,0,5,22,0.0,0.0
2026-02-20,B08P31F45K,B0DT9D66X1,0,0,0.0,0.0,27,0,6,21,31,0,8,23,0.0,0.0
2026-02-20,B08P31F45K,B0DT9GW9YH,1,0,28800.0,0.0,14,0,2,12,21,0,2,19,7.14,0.0
2026-02-20,B08P31F45K,B0DTH5B27T,0,0,0.0,0.0,13,0,2,11,13,0,2,11,0.0,0.0
2026-02-20,B08P31F45K,B0F7X8N5JD,0,0,0.0,0.0,14,0,3,11,27,0,4,23,0.0,0.0
2026-02-20,B08P31F45K,B0F7XHMQDX,0,0,0.0,0.0,20,0,5,15,27,0,5,22,0.0,0.0
2026-02-20,B08P31F45K,B0FY4MPKM8,1,0,26820.0,0.0,29,0,8,21,39,0,10,29,3.45,0.0
2026-02-20,B08P31F45K,B0FY4NPM7G,0,0,0.0,0.0,22,0,4,18,27,0,4,23,0.0,0.0
2026-02-20,B08P31F45K,B0FY4NVXGL,0,0,0.0,0.0,18,0,3,15,21,0,3,18,0.0,0.0
2026-02-20,B08P31F45K,B0FY4QL7LS,1,0,26820.0,0.0,22,0,2,20,30,0,2,28,4.55,0.0
2026-02-20,B09KZZY78K,B09KZWRV62,0,0,0.0,0.0,6,0,0,6,6,0,0,6,0.0,0.0
2026-02-20,B09KZZY78K,B09KZYRM9H,0,0,0.0,0.0,5,0,2,3,7,0,4,3,0.0,0.0
2026-02-20,B09KZZY78K,B09KZYXKYZ,1,0,22300.0,0.0,13,0,2,11,35,0,3,32,7.69,0.0
2026-02-20,B09KZZY78K,B09L11GCFB,0,0,0.0,0.0,7,0,0,7,10,0,0,10,0.0,0.0
2026-02-20,B0BCQ2PP2J,B08P2X5DB9,0,0,0.0,0.0,15,0,7,8,16,0,8,8,0.0,0.0
